id,publisherID,ratingLabel,ratingValue,factcheckID
BiasReview1,Publisher1,extreme right bias,3,FactcheckResource1
BiasReview2,Publisher4,extreme right bias,3,FactcheckResource1
BiasReview3,Publisher29,extreme left bias,-3,FactcheckResource1
BiasReview4,Publisher37,extreme right bias,3,FactcheckResource1
BiasReview5,Publisher8,right bias,2,FactcheckResource1
BiasReview6,Publisher9,left biased,-2,FactcheckResource1
BiasReview7,Publisher41,right bias,2,FactcheckResource1
BiasReview8,Publisher11,questionable,3,FactcheckResource1
BiasReview9,Publisher43,right bias,2,FactcheckResource1
BiasReview10,Publisher45,right bias,2,FactcheckResource1
BiasReview11,Publisher12,right bias,2,FactcheckResource1
BiasReview12,Publisher47,questionable,3,FactcheckResource1
BiasReview13,Publisher54,right bias,2,FactcheckResource1
BiasReview14,Publisher57,left bias,-2,FactcheckResource1
BiasReview15,Publisher63,extreme right bias,3,FactcheckResource1
BiasReview16,Publisher66,questionable source,3,FactcheckResource1
BiasReview17,Publisher19,least biased,0,FactcheckResource1
BiasReview18,Publisher70,right bias,2,FactcheckResource1
BiasReview19,Publisher21,right bias,2,FactcheckResource1
BiasReview20,Publisher14,left center bias,-1,FactcheckResource1
BiasReview21,Publisher16,right bias,2,FactcheckResource1
BiasReview22,Publisher75,right bias,2,FactcheckResource1
BiasReview23,Publisher67,right bias,2,FactcheckResource1
BiasReview24,Publisher78,questionable source,3,FactcheckResource1
BiasReview25,Publisher93,right bias,2,FactcheckResource1
BiasReview26,Publisher100,left bias,-2,FactcheckResource1
BiasReview27,Publisher77,right bias,2,FactcheckResource1
BiasReview28,Publisher25,left center bias,-1,FactcheckResource1
BiasReview29,Publisher83,questionable source,3,FactcheckResource1
BiasReview30,Publisher88,right bias -fake news,3,FactcheckResource1
BiasReview31,Publisher90,right bias,2,FactcheckResource1
BiasReview32,Publisher24,right bias,2,FactcheckResource1
BiasReview33,Publisher95,right bias,2,FactcheckResource1
BiasReview34,Publisher97,left bias,-2,FactcheckResource1
BiasReview35,Publisher99,right bias,2,FactcheckResource1
BiasReview36,Publisher26,left bias,-2,FactcheckResource1
BiasReview37,Publisher39,left biased,-2,FactcheckResource1
BiasReview38,Publisher15,left bias,-2,FactcheckResource1
BiasReview39,Publisher55,left center,-1,FactcheckResource1
BiasReview40,Publisher18,left center bias,-1,FactcheckResource1
BiasReview41,Publisher20,right bias,2,FactcheckResource1
BiasReview42,Publisher23,questionable,3,FactcheckResource1
BiasReview43,Publisher86,left center bias,-1,FactcheckResource1
BiasReview44,Publisher91,right bias,2,FactcheckResource1
BiasReview45,Publisher27,right bias,2,FactcheckResource1
